City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,floro,61.5996,5.0328,5.13,75,40,2.57,NO,1682498454
83,geraldton,-28.7667,114.6,22.23,53,40,6.69,AU,1682498264
84,santa ana de yacuma,-13.75,-65.4333,22.71,94,100,2.1,BO,1682498456
85,vadso,70.0744,29.7487,2.49,75,40,4.12,NO,1682498458
86,kingston,17.997,-76.7936,25.53,84,20,2.06,JM,1682498459
87,khodoriv,49.4066,24.3136,5.33,90,100,7.48,UA,1682498460
88,beibei,29.8256,106.4339,25.76,53,99,1.97,CN,1682498463
89,qaqortoq,60.7167,-46.0333,0.11,88,89,0.57,GL,1682498463
90,hermanus,-34.4187,19.2345,18.22,71,87,1.28,ZA,1682498465
91,porto novo,6.4965,2.6036,26.9,66,100,4.47,BJ,1682498466
92,afaahiti,-17.75,-149.2833,24.93,83,87,5.84,PF,1682498467
93,port moresby,-9.4431,147.1797,28.68,79,40,7.72,PG,1682498233
94,verkhovazh'ye,60.7472,42.0465,10.07,95,100,3.24,RU,1682498469
95,novofedorivka,46.1713,32.3178,13.94,63,98,6.12,UA,1682498470
96,belen,36.4891,36.2233,17.08,52,40,2.06,TR,1682498471
97,lebu,-37.6167,-73.65,13.28,84,98,0.83,CL,1682498472
98,nalhati,24.3,87.8167,39.48,14,3,3.03,IN,1682498473
99,gejiu,23.306,103.1635,16.57,71,62,3.71,CN,1682498474
100,n'zeto,-7.2312,12.8666,24.87,92,100,1.9,AO,1682498474
101,cascais,38.6979,-9.4215,22.01,79,0,8.05,PT,1682498475
102,punta arenas,-53.15,-70.9167,6.06,65,75,5.66,CL,1682498476
103,maqat,47.65,53.3167,24.79,20,100,4.13,KZ,1682498477
104,katsuura,35.1333,140.3,20.01,95,100,12.07,JP,1682498478
105,parabel',58.6978,81.4825,2.49,90,100,1.15,RU,1682498479
106,ust-nera,64.5667,143.2,-3.06,90,100,1.4,RU,1682498479
107,souillac,-20.5167,57.5167,28.21,78,75,3.09,MU,1682498480
108,acapulco de juarez,16.8634,-99.8901,24.69,79,82,1.98,MX,1682498481
109,la paz,-16.5,-68.15,5.88,58,8,2.06,BO,1682498482
110,shingu,33.7333,135.9833,16.44,70,31,3.13,JP,1682498226
111,larvik,59.0533,10.0352,7.17,60,40,6.17,NO,1682498484
112,port mathurin,-19.6833,63.4167,26.08,80,19,6.69,MU,1682498485
113,tralee,52.2704,-9.7026,9.14,87,20,2.57,IE,1682498456
114,rawson,-43.3002,-65.1023,12.8,84,100,4.72,AR,1682498486
115,northam,51.0333,-4.2167,9.1,85,100,6.09,GB,1682498487
116,marka,1.7159,44.7717,31.16,59,100,3.75,SO,1682498489
117,anadyr,64.75,177.4833,-7.72,67,0,3.0,RU,1682498490
118,mao,39.8885,4.2658,20.31,56,0,3.6,ES,1682498473
119,itoman,26.1247,127.6694,23.0,78,75,8.23,JP,1682498433
120,port alfred,-33.5906,26.891,23.99,85,13,0.89,ZA,1682498493
121,tynda,55.1667,124.7167,1.57,62,38,1.0,RU,1682498493
122,chernyshevskiy,63.0128,112.4714,-0.82,82,100,1.79,RU,1682498496
123,yellowknife,62.456,-114.3525,1.29,100,100,3.09,CA,1682498498
124,codajas,-3.8367,-62.0569,22.6,98,100,0.86,BR,1682498498
125,manicore,-5.8092,-61.3003,22.4,98,100,0.24,BR,1682498499
126,saipan,15.1355,145.701,27.58,100,75,7.2,MP,1682498501
127,alliance,40.9153,-81.1059,4.82,91,90,1.22,US,1682498502
